Год,Регион,Всего правонарушений
2022,Астана,20313
2022,Алматы,39928
2022,Шымкент,11933
2022,Абайская область,2537
2022,Акмолинская область,6584
2022,Актюбинская область,7908
2022,Алматинская область,15066
2022,Атырауская область,5391
2022,Восточно-Казахстанская область,9416
2022,Жамбыльская область,6470
2022,Жетысуская область,2306
2022,Западно-Казахстанская область,6927
2022,Карагандийская область,10937
2022,Костанайская область,8528
2022,Кызылординская область,3589
2022,Мангийстауская область,4407
2022,Павлодарская область,6181
2022,Северо-Казахстанская область,5293
2022,Туркестанская область,6863
2022,Улытауская область,790